Username,Total_Games_January,Min_RATING_January,Max_RATING_January,Average_RATING,Earliest_RATING,Latest_RATING
Villaman15,49,1309,1440,1380,1311,1392
Plamen_Shishkov2013,17,1112,1262,1198,1241,1112
alapex,44,1212,1267,1236,1255,1212
archalias,27,1135,1188,1161,1163,1149
Muler_1989,16,1333,1384,1358,1373,1364
MNA34591,23,1088,1140,1115,1088,1116
Hadiii007007,42,1302,1374,1348,1302,1346
kiarezaei,48,1301,1480,1397,1346,1381
Tristantann,15,992,1232,1160,992,1142
Arustides,122,1237,1297,1272,1267,1265
Juanfrandmu,71,1275,1379,1310,1368,1298
pikku21,18,1008,1041,1026,1015,1031
John_Snow007,47,1102,1136,1119,1131,1108
JJUGGY,26,1442,1491,1470,1473,1478
mandymolitor,228,890,1013,954,894,1013
ul14x3l88,30,897,1626,1077,1626,918
sdw0511,126,997,1327,1179,997,1212
gyotix,23,1540,1592,1573,1587,1540
obabc,20,948,998,973,951,998
haikuo21,34,1566,1629,1587,1584,1629
tirnarog,105,948,1062,1002,1005,983
domo2192,89,1411,1520,1469,1418,1463
ASP75,49,1436,1511,1467,1455,1504
Christopher-Cortez,28,1349,1396,1365,1390,1368
lucas098,30,961,1028,1001,961,1008
m_i_am_noob_m,103,1090,1211,1156,1112,1156
schattendasein,15,1015,1043,1027,1043,1029
FSer2014,16,610,953,843,800,850
thevman,44,1065,1154,1114,1100,1077
Fomaman,58,1396,1455,1427,1408,1438
Ruslanramil,53,1405,1459,1427,1420,1459
sil_ver,30,1453,1528,1481,1472,1522
Alexander_Braininger,112,1062,1500,1222,1500,1217
gueladjidji,20,1383,1460,1418,1410,1437
SaritaBaloni,107,1209,1259,1233,1244,1257
STBestST,175,1499,1615,1542,1526,1604
xxx_1111,22,1515,1566,1539,1515,1525
NOOB69,30,1127,1500,1250,1500,1153
Cloverxyzx,90,993,1055,1023,1005,1039
Guler05,42,1230,1304,1257,1252,1257
bi_moris,51,1078,1163,1111,1148,1083
Valok1312,31,1630,1763,1689,1714,1656
LuNina51,155,818,885,856,836,863
davutkaraluk,21,1427,1452,1439,1444,1438
sasi221,16,1456,1502,1486,1477,1456
theplayer001,23,1320,1448,1400,1334,1422
rogerestep,226,1045,1141,1098,1072,1116
vendh_da_grate,28,863,1021,928,1021,889
h-13_13,21,1001,1066,1035,1040,1022
justarandomlist,53,1459,1498,1480,1478,1477
michtemp84,37,1612,1662,1640,1662,1654
Tanish0907,16,1166,1315,1264,1166,1192
arabhoussem,120,1201,1320,1273,1212,1277
Jack711,40,840,953,904,904,946
boetsch,69,1200,1290,1253,1213,1272
Hadimn,232,1322,1513,1445,1344,1447
surendranlu,81,1101,1239,1174,1147,1157
Virurch,26,1119,1208,1164,1119,1208
SulEfe123,29,508,614,562,614,590
CountJeezy,80,1124,1584,1424,1272,1584
Pliskin420,83,1492,1545,1521,1528,1513
Pynchu,31,1470,1557,1507,1532,1480
Assarion,143,1046,1127,1086,1071,1110
zilibobik,15,646,1268,808,1268,724
Moritz2704,94,783,845,809,805,802
TranThaoVan,19,1270,1313,1295,1306,1270
Triyambak4377,41,1484,1528,1507,1498,1528
Petr12365,94,1480,1525,1502,1520,1498
Saturnnnbop,29,958,1500,1057,1500,985
vere00011,63,1203,1269,1232,1205,1259
serhatamedli,118,1161,1294,1224,1286,1182
Strix_Chess,22,895,939,914,936,896
TUKDALANG,47,1372,1453,1402,1448,1388
w20939,276,1472,1635,1562,1603,1484
Anthony_Zhu,23,1275,1444,1335,1444,1309
Griever255,117,1022,1139,1083,1056,1099
Thekings2010,53,1526,1722,1601,1589,1713
RafiArsyad123,89,1102,1178,1147,1108,1140
LizaKos,45,895,947,919,947,908
MustafEfe,25,1396,1505,1470,1396,1471
Barsycoved,17,1563,1616,1592,1576,1582
josevelazquez,103,1515,1569,1548,1521,1547
Icarus94,23,1292,1382,1334,1347,1316
tooz77,30,705,1500,944,1500,919
abdullah_cbl1,30,776,1032,938,933,978
DmitrievBoriss,62,1186,1303,1232,1271,1197
daxtersky,98,1534,1592,1567,1535,1566
merulaaa,54,1185,1252,1218,1208,1235
Noizy_Boy__1,43,1194,1501,1446,1328,1471
amskid,21,1563,1592,1578,1579,1580
ruzgar_bilfenisk,40,1283,1382,1343,1283,1376
TheJoker128,21,1733,1818,1773,1733,1813
A-l-i_02112007,16,1613,1653,1634,1635,1633
Luuffey,105,1065,1500,1194,1500,1143
hujjhujj,156,1064,1574,1177,1500,1203
celso_rogato,21,1399,1578,1477,1567,1415
ovidi123454,127,1206,1773,1293,1500,1263
jorqui,104,1234,1320,1275,1277,1241
Inkognito_ryuk,29,1126,1217,1190,1138,1207
rubarez,113,461,765,533,765,508
sausages_and_mash,15,1298,1500,1396,1500,1393
rajath_2013,34,614,672,644,614,649
Nordsalling,85,861,997,903,978,912
Sergio_Souto,44,1192,1235,1214,1198,1211
gopinathreddy,223,773,869,824,851,805
ismail_Wf,15,1004,1598,1227,1500,1026
Jojo1925,295,1557,1683,1601,1666,1647
can_abdis5237,40,1144,1203,1169,1178,1197
soumilmemane,35,1083,1230,1178,1083,1150
shahmarmusayev,59,1291,1384,1331,1372,1341
FrantisekHorvath,70,1264,1337,1292,1330,1304
adrkid725,48,1443,1485,1464,1445,1474
Efekk7,78,1449,1666,1486,1500,1456
greakfor_over,19,931,1282,1048,1282,971
FIL75,15,1510,1534,1526,1528,1518
Kiku365,36,1518,1623,1560,1578,1521
Chirpot22n,16,1170,1192,1179,1176,1176
Pintofeli,105,1322,1462,1394,1451,1348
Goodronami,52,865,947,914,872,930
AlexeyPan,264,1411,1576,1524,1448,1520
Pashtet_wer,50,650,1500,790,1500,721
james_safadao,22,1537,1671,1596,1579,1602
Ceprindev,29,1344,1491,1410,1420,1344
ANABOLICK,93,892,964,928,897,957
wishmerhill75,19,953,988,972,965,984
HL_Fokker,24,1146,1229,1190,1146,1211
chess_vandesel1,79,781,876,841,781,833
yhosvany,189,1376,1471,1430,1426,1421
Axel_Unbarmherz,58,1233,1291,1256,1249,1286
ParlaAminSajedi,69,1025,1184,1099,1025,1184
Abdo3mk,51,1061,1244,1143,1159,1077
GTS110603,172,1372,1511,1455,1379,1489
UstinovAlexey,16,1040,1074,1059,1040,1071
swango1,41,1074,1232,1139,1216,1086
stepan82,94,1575,1639,1597,1614,1597
artemkuzin16,35,636,905,724,749,647
gharatsa,19,1194,1344,1241,1344,1203
bruais,120,1427,1549,1503,1469,1537
shobhac,20,922,971,947,934,922
Nastegalia,43,1133,1178,1156,1135,1140
vanya3,100,1364,1456,1405,1371,1438
Ysf1661,28,1366,1434,1403,1370,1419
Darovskih,88,1547,1646,1590,1571,1621
Matvey_Smolenskiy,19,1306,1346,1322,1346,1326
Hades-only-try-bad,46,1512,1615,1558,1546,1615
Gleb654321,15,507,587,538,512,570
RotarKonstantin,17,926,1018,983,950,989
Curtis57,382,1437,1545,1489,1485,1480
Dr_paino0o0,102,1197,1324,1266,1202,1267
KarsNerp,118,806,954,890,818,894
safrane1,218,1513,1611,1557,1525,1542
aayushkotecha,20,1444,1566,1492,1471,1566
thefriedc,31,1207,1240,1223,1238,1240
GambitGHetman,91,1158,1306,1240,1159,1284
NikolayR63,165,1461,1560,1508,1487,1504
Geniya,41,1147,1201,1178,1147,1192
vihaansrimanne,15,641,1212,821,1212,823
FacuBlaus,26,1561,1595,1579,1564,1573
Ruben0088,43,1496,1571,1542,1565,1496
mah-hass,57,950,995,978,985,984
Davka1996,418,1262,1423,1343,1294,1363
AzimEgamberdiev,47,1070,1500,1219,1500,1178
DimateooetamiD,46,1457,1551,1506,1520,1458
DrPande,118,1041,1140,1084,1041,1140
HannahAH,21,1173,1221,1196,1221,1211
Eclesiast,154,1428,1600,1513,1575,1466
Surya_me,36,1559,1701,1603,1610,1699
MahmoudM-Rajeh,49,1122,1261,1194,1127,1261
FinnsDaddy420,21,1561,1597,1580,1595,1597
vihaanbhard,15,925,1255,1035,1255,938
Aniuorte,20,1481,1574,1518,1515,1484
Godzilla2023,18,935,971,952,951,946
chugachchutzpah,67,1368,1438,1403,1368,1397
sarthok2013,20,1085,1141,1112,1141,1109
