Username,Total_Games_January,Min_RATING_January,Max_RATING_January,Average_RATING,Earliest_RATING,Latest_RATING
Its_America,36,1371,1515,1450,1371,1515
vistalite,15,1261,1332,1300,1300,1261
lohweijing,46,1307,1390,1337,1308,1363
AnnKus,50,1055,1258,1197,1079,1185
imaginopia,172,1106,1415,1269,1134,1415
Nicolas19741001,77,1078,1153,1103,1147,1091
Ibsaleh,22,1594,1648,1615,1637,1609
hosecoin,32,1111,1190,1164,1170,1187
SengokuThebudha,25,1499,1541,1521,1541,1523
marcospuchee,57,1261,1308,1284,1268,1303
joey68,263,1311,1424,1367,1402,1350
notatall19,21,1496,1553,1516,1553,1509
frooster64,31,1297,1327,1313,1318,1323
misha_komar,19,1501,1593,1548,1526,1541
Sariya_13,19,1158,1367,1229,1367,1176
filgor84,44,1189,1246,1218,1236,1190
miracbakir_16,22,1070,1116,1095,1103,1097
ekmekisteyen1,45,1555,1610,1583,1593,1610
liuyipei,73,1164,1565,1243,1500,1178
Piyush_yadav_11,23,1259,1299,1279,1284,1259
schachfreundsteve,34,1481,1592,1524,1484,1564
Bhavisha345,17,1015,1052,1035,1024,1039
KarmaGyelmo,46,1320,1458,1372,1382,1345
Schneegleiter,199,950,1043,1000,988,989
AyxanK,21,691,1500,959,1500,691
K0MANCZ3R0,130,1244,1355,1283,1298,1252
Booraann,27,1542,1606,1565,1542,1606
gallantniy,64,1448,1560,1503,1560,1461
Lustin,16,1268,1555,1432,1308,1508
adityabpmce,113,1024,1116,1058,1111,1070
usalaf,128,1371,1437,1403,1437,1427
seymourbrb,49,1272,1325,1302,1296,1272
mbennibe,19,1580,1612,1594,1596,1589
scrabyard,20,1455,1553,1518,1507,1549
kenworth900,96,1568,1651,1598,1609,1651
VasilyLoginov,53,1148,1291,1223,1148,1268
goster42,39,907,1320,979,1320,976
deepocean1358,46,1603,1680,1634,1619,1622
storm_excalibur,22,1366,1607,1496,1366,1607
Einhorn65,330,1159,1338,1264,1298,1294
tshering,95,1419,1502,1458,1443,1497
Elliotpain,18,1265,1496,1360,1291,1310
Negro_ng,15,1151,1151,1151,1151,1151
Alexius21,71,1058,1141,1113,1140,1132
Naramhussien,37,803,1354,985,1354,803
stepashka_na_ohte,15,1533,1585,1572,1533,1579
a_nekhamkin,19,1437,1580,1532,1437,1556
grechaaa,15,828,913,869,913,886
Autsalu,37,777,859,825,777,859
timpatal,83,1547,1609,1573,1609,1558
kyershov,750,1475,1599,1543,1483,1552
Sayyedhamdan,46,1329,1426,1377,1426,1329
Loskunchik,52,1502,1549,1524,1532,1528
wenceslaoleon,45,1260,1426,1369,1262,1420
raad1393,21,1628,1695,1659,1695,1654
Mayank_0007,15,1395,1440,1417,1421,1406
sailajavikashm,27,963,997,982,977,997
yonosdara,28,1581,1654,1608,1623,1646
tigert25,35,1580,1640,1607,1584,1611
mpstyles54,39,996,1050,1024,1033,1009
Argel12,83,1152,1245,1206,1167,1207
edelcarpio,39,961,1022,985,970,1002
ayhammwz,20,1420,1451,1434,1440,1444
vystoropskyiserhii,16,1513,1566,1541,1533,1525
clinks,200,936,1500,1109,1500,1159
RolandGunther,28,1581,1605,1595,1593,1594
saxey,86,1539,1616,1581,1551,1539
sgumbio,61,1550,1659,1593,1659,1652
EgorPshennikov,25,1542,1638,1582,1542,1638
