Metric,Value,Interpretation,Games_Played,Player_Count
Pearson R (Linear Correlation on Raw Data),0.0699,Strength of linear relationship between games played and rating gain on the full dataset.,,
P-Value,0.0000,P-Value < 0.05 indicates the correlation is statistically significant.,,
15-50 Games,-22.3177,Average rating change within defined game volume groups.,25.8387,3670.0000
51-100 Games,0.0058,Average rating change within defined game volume groups.,69.0565,868.0000
101-150 Games,19.8290,Average rating change within defined game volume groups.,120.1524,269.0000
151-200 Games,5.0374,Average rating change within defined game volume groups.,169.7383,107.0000
201-250 Games,25.4375,Average rating change within defined game volume groups.,221.7917,48.0000
251-300 Games,13.5882,Average rating change within defined game volume groups.,275.8824,17.0000
301-350 Games,-11.1429,Average rating change within defined game volume groups.,311.8571,7.0000
350-400 Games,-48.0000,Average rating change within defined game volume groups.,380.0000,6.0000
401+ Games,4.8750,Average rating change within defined game volume groups.,623.7500,8.0000
Grouped Pearson R (Bin Averages),-0.1053,Strength of linear relationship between average games played and average rating gain across the binned groups.,,
Grouped P-Value,0.7875,P-Value < 0.05 indicates the grouped correlation is statistically significant.,,
