Username,Total_Games_January,Min_RATING_January,Max_RATING_January,Average_RATING,Earliest_RATING,Latest_RATING
yonueve,34,1036,1149,1070,1074,1066
CCl4fatboy,24,1037,1096,1061,1049,1088
Primaszach,263,1415,1514,1465,1429,1470
hub3213,69,1239,1308,1276,1239,1261
bashemhard,57,1462,1497,1478,1491,1472
MariaMahmoud,31,1144,1194,1174,1183,1154
alperen1979,287,680,896,777,713,870
furkankec,33,1027,1112,1061,1033,1106
AlexanderxPaul,34,1617,1698,1660,1679,1698
MR-AZ,15,1307,1449,1389,1348,1449
J_A_2015,21,1103,1140,1127,1130,1114
coh4fun,26,1071,1109,1095,1105,1100
KamalSabirov,16,932,1006,961,1006,961
ck-raj,24,959,1227,1021,1227,959
elena_1967,80,1379,1440,1410,1387,1397
rajeshsachan,198,1262,1401,1345,1394,1286
Fritzling2019,86,1583,1698,1610,1694,1637
Blitzkrieg77,17,1556,1597,1576,1558,1588
Pavelsrv,75,1198,1271,1236,1198,1245
ROBE21,58,1123,1175,1147,1130,1133
KIRILL_065,35,816,873,845,852,822
ankit0049,29,1097,1162,1135,1102,1152
Ferapeg11,78,902,1246,1156,1037,1103
safepoeticbullfrog,16,1491,1525,1509,1508,1519
Casanovachess1,15,1228,1254,1239,1243,1228
t2342013,27,1125,1186,1145,1169,1126
sathveer,51,794,878,837,819,864
shen109,23,1556,1600,1574,1586,1600
OmiOjha,26,955,1365,1097,1304,955
Freakester,80,891,1050,940,895,923
pablorial,33,1355,1448,1409,1367,1395
ArinaGhitu,27,1001,1072,1030,1072,1001
Night_sharK,16,1199,1263,1228,1200,1263
amirhosin_95,34,701,786,731,772,711
Kartavelo,24,1576,1595,1585,1578,1580
jelamoto,95,1527,1564,1547,1542,1551
Birdy57100,15,1393,1416,1402,1406,1416
stroyprospekt1,118,1325,1407,1362,1346,1357
NeilBhargava,97,779,891,836,779,891
BikTim17,52,1145,1224,1186,1211,1182
RomanRadzikevich,27,807,861,841,813,838
nameruse00,31,1579,1663,1613,1591,1642
brunodiasnet,24,929,985,956,933,972
acck,75,1483,1631,1558,1500,1504
acasan_52,57,1353,1421,1392,1394,1395
Egoranamas,31,1570,1649,1595,1649,1587
Dozorka,18,749,861,790,861,809
biotoni,19,1439,1530,1489,1488,1530
HackkoD,16,851,1500,1021,1500,860
roshanatalebi3141396,17,825,1061,1003,825,999
Azizkaan2016,18,961,1053,1013,982,1025
Morningstar1990,24,1000,1500,1163,1500,1166
Narayan_Kumar,30,1419,1511,1473,1474,1506
Bearilius,19,1313,1386,1344,1337,1375
glhfmf,48,1168,1227,1200,1213,1172
Dhrishjibin,23,1377,1464,1408,1378,1464
UltraSlarken,24,1363,1445,1408,1409,1393
DarieB,16,898,923,914,908,917
RDeepti,130,1201,1272,1238,1235,1253
lucasportela,39,965,1001,981,979,997
Erast_Savenko,29,1131,1165,1145,1165,1137
damn1damn,16,1006,1092,1052,1006,1081
Bernd2789,64,1131,1195,1163,1184,1140
Amaurih,22,994,1066,1030,1001,1031
merkulov_a,19,1360,1404,1383,1393,1404
ymanda,41,1371,1420,1396,1397,1417
Jenya27,20,1077,1107,1092,1089,1088
gillopher,19,1446,1526,1486,1456,1526
Klient1,70,1317,1374,1349,1357,1361
Feyzo58,16,678,814,762,738,792
atharvas23,20,1038,1095,1060,1045,1081
kaushini123,38,1411,1485,1444,1457,1452
bluemaliras,29,1271,1437,1359,1308,1427
zaazen,25,1563,1635,1598,1621,1575
min30pemilu,44,1011,1500,1264,1500,1284
purvanshdshah,114,1346,1547,1446,1361,1536
KraahS,22,1563,1596,1585,1570,1589
PeRioD_7,46,1169,1297,1238,1199,1297
A_Mikhail,16,1319,1338,1329,1331,1329
Eliezer16RD,18,840,965,906,965,888
vahekhechumyan,16,1102,1593,1216,1500,1197
andremarcel1,26,1442,1517,1484,1442,1506
Majd_dev,38,951,1500,1045,1500,975
Elodia,21,956,1282,1079,1122,956
Ksenia_020916,28,871,1018,918,974,899
Monongahela,105,1011,1105,1049,1020,1100
M_009,88,1254,1348,1304,1341,1305
griff666,88,1402,1494,1448,1432,1473
liki_123,15,1374,1568,1450,1568,1460
RodyChess13,53,1025,1107,1079,1094,1103
akyuzs-bjksatranc,20,451,648,511,648,484
Louyuze,74,743,789,766,743,769
GringoVogel,31,782,835,797,797,835
wolkenmeer,79,1224,1316,1276,1224,1288
ddschoo,20,783,913,836,913,839
Beginneerrr,30,1291,1674,1477,1500,1674
AriDeDian,48,1355,1490,1456,1376,1472
sohansa,15,1121,1232,1204,1147,1228
nightnight27,63,843,923,887,881,868
dgk_allday,66,731,788,758,749,786
thristan,28,1600,1703,1625,1703,1627
Kader_kizilet,18,1037,1082,1062,1037,1080
lohithkantipudi,115,795,927,876,801,922
xaststain,18,1206,1266,1243,1251,1206
rajiv2516,36,1550,1659,1570,1566,1659
M123Ghenaat,91,1489,1589,1535,1516,1564
MLMS266,15,913,1006,958,955,913
mkerememek,60,1155,1290,1226,1155,1277
ElMiji,30,848,1362,999,1362,1033
Alexus6997,17,846,875,861,848,866
nadiafed,43,969,1075,1007,982,1032
viditgr11284,18,783,870,849,783,870
Mr_Aksak,40,1446,1632,1488,1632,1468
Vimarsha328,22,1335,1497,1430,1335,1488
Robert1000,25,941,1196,1057,941,1187
Kledndzfgl,16,1312,1370,1337,1343,1314
Adelshck,44,1242,1433,1330,1269,1428
nigosb,15,1062,1500,1169,1500,1074
jcvvv,16,1263,1361,1318,1304,1263
Resandi-2015,40,1121,1176,1154,1167,1176
Darkknight3864,17,1473,1515,1494,1506,1507
Gh-Tajari,47,1248,1330,1287,1293,1325
golubev-mk,17,1173,1238,1210,1236,1180
vana100,25,1415,1514,1462,1448,1469
Rrrober,40,1181,1427,1304,1224,1427
Pu90,22,1379,1511,1408,1489,1413
MIRAC-MUTLU,16,736,1500,925,1500,848
venug1964,56,1291,1386,1331,1368,1291
s0urc3_c0d3,18,1211,1311,1268,1214,1251
antonia1,21,1481,1506,1495,1481,1506
apalache,37,1495,1621,1566,1516,1599
uffa77,18,950,1274,1116,950,1274
kidusyared,25,1610,1661,1627,1646,1661
Qosmiopqf,20,1379,1407,1394,1385,1402
ydimann,31,1455,1498,1475,1483,1468
pohga,18,1005,1500,1168,1500,1049
Harmenvanderspoel,22,1223,1686,1351,1500,1223
redcam,164,1064,1173,1128,1074,1166
GradientDescent89,19,1494,1529,1513,1494,1495
hlj_ys2013,35,1538,1619,1578,1555,1597
Prokrastinator_1,31,1020,1116,1084,1048,1095
badcamedy,18,1400,1483,1441,1407,1483
J2_PT,64,1473,1540,1511,1523,1523
kamilagduk,34,1360,1404,1381,1383,1372
teomanalpkaya,120,612,724,663,641,719
rkkarri,52,920,954,938,949,945
DieRoteTomate,18,1090,1332,1143,1332,1090
dnc321djk,42,1461,1492,1475,1471,1478
santtesla,109,1241,1396,1313,1388,1324
PapiTAMAMarley,71,1165,1216,1191,1198,1165
nurtensalaz,30,1016,1083,1055,1046,1071
Mr_BlackSimon,15,1262,1303,1280,1284,1265
akion03,46,1445,1517,1472,1456,1517
shavey,17,723,756,740,723,756
Bogdan597,32,1377,1454,1416,1392,1442
saharshamity,20,1341,1417,1382,1391,1350
ChaoXiaolong,21,1254,1512,1421,1313,1468
sspants,29,1473,1539,1502,1526,1487
tbbcchq,55,1080,1212,1135,1154,1082
joycelleadorablefern,19,1223,1364,1313,1263,1327
pharmaStan,149,1312,1411,1372,1312,1371
Havlichek,34,1439,1531,1479,1531,1471
Gefel_Vik,23,712,759,738,721,739
rcsatrancefe2016,18,1110,1312,1207,1312,1121
rafael874,18,1612,1645,1632,1612,1626
Vadim_Neretin,24,1052,1195,1094,1195,1052
dekorte72,54,1157,1331,1223,1266,1215
santinatreesacijo,19,945,1015,988,975,945
Rauf_Baghishli,44,1046,1100,1073,1048,1089
KingDreC,59,965,1047,1009,989,1031
toprak_kaplan,61,1016,1102,1068,1098,1102
RAHirudi,81,1178,1247,1219,1194,1237
chessph40,24,1575,1656,1602,1586,1639
N9mo,121,905,1093,985,962,1093
yepxq,28,842,1500,968,1500,842
Merdan87,38,1179,1522,1437,1500,1509
Ponysoup,27,1525,1587,1562,1525,1575
MiroslavKnez,23,737,806,767,806,756
lirpa39,62,978,1082,1028,996,1082
curmudgeon39,99,1256,1380,1336,1366,1271
ludabejsuk,15,697,1500,915,1500,719
trg_16,16,676,743,706,676,743
hwanzart,18,1026,1105,1080,1104,1105
ErnestoPatriarcado,76,1514,1609,1569,1586,1514
ashish754,30,856,1500,952,1500,882
WayneFlow,15,1003,1061,1014,1061,1003
SchwaazVere,17,1202,1283,1250,1202,1263
Architbagaria,60,818,900,848,823,867
yugeeth8424,59,1181,1275,1230,1188,1235
kozyrev_alex93,128,1476,1567,1521,1557,1550
Semen2017,26,1495,1546,1524,1505,1495
MarcSamehAzer,43,1072,1124,1093,1124,1094
aleefsm,15,1075,1745,1256,1500,1309
HarshalChheda,84,1503,1575,1537,1566,1503
AvtoKoshka,40,1561,1671,1593,1572,1658
Alekss81,120,721,799,766,721,737
luffyfan1904,165,650,826,724,817,801
mohammadmehrad,30,608,1500,855,1500,608
Plyr2163,46,1048,1107,1075,1101,1098
Ali19799,15,1647,1695,1669,1678,1652
Pratyay_aggarwal,103,788,862,819,791,849
Raul905122,25,1058,1185,1141,1058,1176
jEWgO,40,862,1207,1078,922,1207
Agustin_LA,30,1262,1313,1289,1262,1296
Dima1993-Simo98,53,1221,1259,1241,1228,1259
behappy57,26,1285,1317,1301,1294,1294
daovanthom,25,1356,1468,1409,1356,1401
Maxim_Kanshin,15,1049,1129,1092,1096,1121
TahaRaptor93,29,689,753,729,704,729
joh4nnes,143,1314,1411,1363,1411,1396
monsterpferd,90,1221,1300,1265,1279,1256
piskovoi,22,1528,1576,1554,1552,1556
IARCH234,26,951,1036,995,951,1035
peterloco,45,1251,1333,1285,1333,1251
Filippo33,35,998,1180,1079,1045,998
bobksh,29,1436,1476,1451,1449,1445
swk65,82,1299,1375,1340,1360,1327
Excla,48,1047,1103,1074,1098,1078
fdbfujhjljr1984,17,735,1500,939,1500,993
A3-Adrialys-85,94,714,851,791,844,740
DanilBogomolov,57,1275,1331,1303,1310,1293
nannida,167,1328,1408,1373,1380,1332
salah588,15,1413,1505,1466,1417,1498
yuvaan_agarwal,23,1059,1113,1086,1059,1113
NilsPeters,39,1071,1114,1091,1109,1108
ruzgar_bilfenisk,39,1283,1382,1342,1283,1376
Maneli1394,25,1075,1122,1098,1099,1107
QueenieQueenie,25,1047,1079,1066,1070,1047
suwansa2014,15,655,1500,820,1500,656
wolf-68,68,1182,1243,1216,1208,1214
CastroPerez,48,1200,1297,1243,1200,1294
MK-1976,56,1358,1425,1382,1398,1419
bastieller,66,790,906,830,826,906
sevilamz2018,29,1122,1168,1148,1122,1158
RU32BU,83,1260,1356,1301,1276,1350
woodsgift,77,1308,1455,1389,1318,1431
Anita_kh,21,701,773,737,773,741
amiralishapouri,52,1435,1474,1453,1444,1467
metetaha18,26,631,838,695,838,631
Bmaxxbuzz,163,948,1063,996,1015,1040
Dolores2015,19,1182,1238,1215,1230,1221
amirvosoughi,61,1150,1281,1214,1150,1279
ratajski6545,15,1077,1119,1098,1093,1119
Chaniru2011,17,1415,1492,1459,1415,1437
inch501,24,706,1500,897,1500,795
matrix-revolution,20,1575,1614,1595,1609,1596
Huzeyfe_Satranc,20,805,952,898,805,933
rohallah62,22,1460,1512,1495,1467,1508
Monsieurn,94,1397,1494,1452,1403,1457
Miroslav164,67,1214,1276,1251,1256,1259
amigochulo,96,1482,1561,1508,1512,1561
kipikopo,219,869,982,930,869,939
xaviernesto,52,1340,1399,1357,1346,1355
GlebMalanin,36,1223,1387,1309,1252,1375
VladimirVasilevichL,55,1420,1483,1454,1435,1476
masome2023,40,1209,1362,1289,1209,1360
AlexanderMovsisyan,17,1460,1516,1489,1493,1460
Abbass_M,16,1242,1271,1256,1271,1252
omarworldclass1,19,1280,1578,1342,1578,1331
jkk10,173,1300,1548,1498,1500,1511
tedyherman,105,1195,1260,1230,1200,1217
Rod999,25,1272,1468,1388,1272,1369
Daniilovner,21,1142,1266,1206,1186,1266
shraban2021,40,880,968,916,923,968
Auba44,24,922,983,954,935,969
tatvampatel,15,1320,1350,1335,1350,1343
Bizmobiz,15,1281,1361,1326,1281,1361
jaff23,46,1463,1514,1489,1514,1490
Pan_Wiatr,40,846,1208,1061,866,1199
MStarfighter,32,1391,1422,1407,1418,1398
behnaz_5337,17,570,1034,695,1034,571
sanobar,23,1113,1259,1163,1245,1116
Aleksandr7883,60,1430,1540,1469,1461,1540
barsambolandi,18,1012,1117,1076,1012,1101
Hagelsturm44,26,1104,1164,1137,1130,1156
Samrat_Smruti,18,1075,1574,1225,1574,1090
PikkChu,140,817,882,849,874,858
imedis,38,1019,1095,1065,1021,1081
Yigit_17,25,1071,1142,1098,1095,1112
Amazingaarnavi,36,895,941,920,919,895
ksemaster,30,1364,1440,1397,1365,1440
nishantsahu,34,1126,1167,1147,1159,1130
hakdog3976,22,1172,1228,1205,1195,1172
sshanthi,15,1262,1350,1319,1316,1302
EdekLC,85,1515,1586,1546,1569,1564
BindusThudd,48,1588,1650,1616,1630,1594
Seagull79,23,1533,1617,1581,1533,1609
Minouss,60,919,1071,1003,919,1065
lambda_zero,18,1089,1137,1118,1106,1117
thierrypujolle,46,1534,1593,1563,1555,1561
logoden,50,1038,1072,1056,1072,1049
alosalinas,25,1275,1334,1298,1334,1295
kuzeybeydilli,16,626,669,647,635,662
Olzhas1991,28,1328,1429,1381,1328,1339
Mark-18_11_2014,25,882,936,911,883,927
uwongalema,54,1395,1448,1416,1399,1399
Anass3693,56,941,1028,978,947,1023
tos1010,95,1515,1615,1561,1609,1515
ahalepola,79,1569,1611,1587,1604,1599
AlparslanSahin,167,886,1232,961,1061,973
Jellukka,21,986,1023,1010,986,1020
today_is_my_day52,19,1514,1556,1536,1538,1556
agagaur,43,989,1500,1075,1500,1041
hazem9876,32,772,1099,867,1099,873
andreymar93,21,932,1006,961,950,1006
Talantmarat,34,1182,1265,1232,1182,1260
sirbobslob,70,976,1135,1038,1096,976
Densmaa1969,45,1339,1418,1375,1354,1400
yourhighness95,26,1397,1428,1413,1411,1410
Tedmax,22,1468,1504,1487,1495,1484
pchess07,56,1035,1335,1222,1035,1330
penzata,35,1506,1568,1542,1530,1511
tr1953,16,1049,1083,1068,1069,1065
ivan_086_2016,40,919,1038,971,1038,983
masterkkchess,17,729,857,790,825,739
penvindhra,21,653,700,681,684,695
szhou0202,25,1009,1078,1040,1078,1040
Joker0777,75,1009,1094,1047,1070,1035
eka-trex,35,1047,1104,1075,1072,1055
emirduran33,58,1248,1321,1274,1248,1321
Shmeldon,18,1070,1343,1186,1343,1250
vallidol,53,1382,1447,1413,1429,1395
tiga_style,16,1472,1512,1487,1492,1472
Tanja1983,39,1451,1506,1471,1499,1477
Ayyubxon,17,979,1121,1051,1033,1105
LSDiego,15,1540,1621,1573,1555,1621
Konton3107,33,923,990,947,948,990
hornuda,44,1002,1500,1137,1500,1013
you10588,112,1244,1340,1293,1253,1340
SudsyTubs,27,1432,1661,1579,1661,1554
bico4,91,1444,1553,1489,1500,1547
Lyss0n,22,1072,1166,1122,1159,1072
alirezaminae94ii,126,1406,1516,1448,1504,1457
jjonak131,18,1321,1603,1440,1603,1321
