Metric,Value,Interpretation,Games_Played,Player_Count
Pearson R (Linear Correlation on Raw Data),0.0785,Strength of linear relationship between games played and rating gain on the full dataset.,,
P-Value,0.0000,P-Value < 0.05 indicates the correlation is statistically significant.,,
15-50 Games,-23.0328,Average rating change within defined game volume groups.,26.3025,3355.0000
51-100 Games,-13.3384,Average rating change within defined game volume groups.,69.5849,978.0000
101-150 Games,2.9808,Average rating change within defined game volume groups.,121.6374,364.0000
151-200 Games,-4.6828,Average rating change within defined game volume groups.,171.3517,145.0000
201-250 Games,31.6528,Average rating change within defined game volume groups.,220.9167,72.0000
251-300 Games,35.8529,Average rating change within defined game volume groups.,274.5588,34.0000
301-350 Games,8.0000,Average rating change within defined game volume groups.,320.0400,25.0000
350-400 Games,63.3000,Average rating change within defined game volume groups.,380.9000,10.0000
401+ Games,10.5882,Average rating change within defined game volume groups.,548.7647,17.0000
Grouped Pearson R (Bin Averages),0.5895,Strength of linear relationship between average games played and average rating gain across the binned groups.,,
Grouped P-Value,0.0948,P-Value < 0.05 indicates the grouped correlation is statistically significant.,,
