Username,Total_Games_January,Min_RATING_January,Max_RATING_January,Average_RATING,Days_Played,Earliest_RATING,Latest_RATING
existfortiredpeople,21,657,775,690,6,775,657
CarlosRamosPt,26,709,748,727,12,748,725
anabolicfrenchgreg,15,851,894,870,11,862,851
trian_1707,25,936,1067,1035,14,936,1048
watermelonpineappale,19,570,647,622,7,570,638
cgdvfgfgg,25,698,723,708,8,723,701
Taha96setaregi,15,730,759,742,10,759,746
shaikrishnabalaji,34,700,799,742,14,766,712
Hakonai,35,697,811,757,8,712,811
Maelito18,79,755,880,781,12,880,764
geat15,15,825,921,873,10,825,891
forexInvestopedia,36,799,935,844,18,843,917
incirellaa,21,695,729,715,10,717,695
Shavey,25,721,758,741,11,736,758
dongkhang,15,683,738,715,11,703,698
TelparyGleb,15,640,640,640,3,640,640
PlayBrother,33,712,799,760,6,799,722
Fristol,43,776,921,813,14,801,921
MaxKond,24,704,801,742,9,730,801
gvshyamala,26,717,717,717,8,717,717
KPN1,25,832,899,865,8,853,842
zadvinull0,69,696,860,769,21,706,793
Auverror,41,693,798,763,10,798,731
bcc000068,17,629,657,645,13,649,639
yuna_cake,15,464,621,516,6,582,469
mark_us,15,692,763,720,7,705,763
Advik1213,15,1145,1199,1177,8,1176,1146
PROTIN_BAR,19,457,583,519,9,583,491
Sorcerer007,19,824,859,841,14,853,824
niranjankuttanvlogs,28,617,806,677,4,806,641
tony1985cudillero,39,707,786,742,18,726,725
Izabelka,15,829,868,851,8,867,847
Elliottjmoon,49,560,931,647,21,931,639
TANAKA1111,21,806,905,854,14,867,834
Lecheick,17,729,899,805,4,879,899
gfregat,54,726,868,769,9,791,759
gamuyan,17,738,915,839,8,799,915
Aviii02,80,569,675,612,13,675,587
tonna25,27,631,743,663,8,743,676
lodorud,19,507,684,606,7,507,684
laas2011,40,423,847,547,2,847,427
CGR0031,15,622,702,665,6,648,698
wasa639,70,452,797,532,10,797,572
behradaaa,60,459,628,554,15,459,612
Nitisha_Rustagi,20,737,792,763,5,772,755
Ozormone,117,588,889,675,7,889,627
divyahlm,18,709,805,760,13,728,805
Arshan_p,31,772,832,795,7,799,813
nishida2016,39,756,895,808,9,760,895
F_1905,42,561,646,605,17,592,640
meganripple,22,649,875,704,9,875,668
Raff081010,17,625,684,651,8,675,625
Javichi2015,26,744,829,782,11,760,822
sooze666,100,545,627,594,27,551,583
T1pOCHECK,18,681,828,737,9,778,724
sissisima,84,736,842,785,11,821,771
Andreymah,23,783,857,807,7,857,789
AaronAndAlex,60,652,729,695,16,674,677
qekaw,84,772,865,804,11,865,792
copperfieldd50,119,725,771,746,18,751,735
siyah01,21,650,741,687,2,717,666
Mariam_K7777,56,686,754,726,11,686,728
farish_naz,17,945,971,954,12,945,952
Sai2013Vijayakumar,22,712,807,759,12,727,807
Samyar200,61,684,737,714,18,737,724
gurmansingh,15,538,628,584,5,581,628
DaryaTrassorub,15,648,796,713,6,659,783
eriklesoliveiraa,78,531,854,600,10,819,539
kitty55,16,692,942,752,3,942,692
rcsatrancdefne2017,24,488,600,551,9,558,488
Azetoxit,20,631,802,686,9,802,754
Siddhantkhokle,18,747,916,802,7,757,916
BryanCaal2004,17,779,912,829,6,779,912
unicorn_magical,41,763,805,784,11,782,791
YANEYNEUVETOIGRAT,55,662,778,701,9,768,725
Asd_atlas2,22,732,790,757,14,790,765
VadimGOLD,21,612,745,663,7,745,737
CB_rishika,30,761,800,786,9,800,798
kurnazayaz2006,16,808,859,832,8,816,816
Numismagik,150,714,871,760,23,723,861
Johan_Geo_Chess,34,459,527,492,15,525,483
fabriciopolg,20,655,678,665,11,664,669
Mustafa_24_3,77,734,944,807,16,734,944
Don_Keadic,40,764,848,808,21,830,764
TomteTomteTomte,64,645,780,740,21,670,761
SulEfe123,29,508,614,562,18,614,590
Eric_Lo,34,674,773,717,15,747,707
