Username,Total_Games_January,Min_RATING_January,Max_RATING_January,Average_RATING,Earliest_RATING,Latest_RATING
hwyru,18,899,1032,939,1032,913
OG_9921,26,856,934,892,934,888
Lawwarrior,35,954,996,974,962,984
LordProtectorsGambit,31,844,1019,911,1019,924
hansjoerg3000,16,1019,1090,1052,1074,1034
ArjunBrijith,174,921,1096,978,921,1096
Coskunefe5859,24,623,671,649,669,640
EwPeter,33,813,1103,954,974,1091
nitin12384,67,815,930,866,815,903
phannganthao,34,863,1024,919,1024,889
VENKATESANVENKAT,34,819,862,842,830,860
Kenstae,67,942,1022,985,1016,982
hanedar28,63,946,1028,982,1028,987
moamle,61,978,1038,1000,1013,994
SyedMohdazib,41,953,1000,974,980,989
salvamore,110,783,848,814,839,843
Bagen_Iga,19,1047,1086,1065,1065,1057
Kralgomi,18,1166,1188,1178,1184,1174
bekiruyar1953,82,1018,1117,1060,1056,1089
sswaney1015,27,890,925,907,890,919
amirreza13949864,99,749,947,852,866,936
mu1tifariou5,19,999,1129,1034,1129,1031
Auverror,42,693,865,766,865,731
Juvin5361,38,765,801,781,800,773
dewsenziryab,28,693,757,723,739,700
trickstarplayer,102,961,1089,991,1008,1089
umtby,53,742,808,774,775,786
Xadrez60,19,928,984,955,959,978
batman0602,15,720,881,831,720,835
q888a,133,875,1009,937,990,889
Yabaidesune,23,580,705,628,580,703
sughoshkankal,36,892,1031,972,892,1030
abs91,25,953,985,967,953,963
sergo9301,117,924,1057,980,932,1057
bohdanbagban,87,877,972,921,963,893
selimege_2013,80,829,995,927,995,970
Houston_Base,27,1011,1116,1046,1019,1116
Leiurus_quinquestria,16,766,992,836,992,831
mikeepresha,66,734,813,770,773,782
MaryRB,125,839,915,881,915,897
xavi_mecha,67,892,980,940,892,958
jovan_D,45,1083,1217,1134,1097,1217
manuchat,19,904,980,957,976,980
MichalSob13,23,819,987,917,987,938
andrea36,19,434,1027,606,1027,474
Karlaaaa,16,653,653,653,653,653
Jbs_player,17,1020,1163,1058,1057,1163
chesswinner96,106,616,1003,726,1003,649
KralMemoHD,49,866,926,897,897,886
Big_booty_bishops,40,818,906,858,871,818
ashvityagi2014,16,746,771,756,747,751
Fares47550,68,986,1067,1020,1002,1027
Akash612,127,904,984,949,918,941
hamza1234ha,19,949,997,973,949,987
tamara2706,35,935,1020,977,995,1014
Akshara161014,27,896,960,926,914,926
sambhavsen,20,591,690,645,591,690
Asheghkoosh,29,905,1050,934,1050,909
C4L_AnirudhV,53,907,961,937,953,920
Aru1004,16,670,718,692,715,679
MRCaldexz,21,1154,1220,1178,1164,1220
Zoomzoomba,19,781,876,818,876,797
laurafernande,164,622,996,900,996,932
youlang,17,1027,1071,1055,1063,1051
Stas-17,40,745,999,804,999,843
Milo_2016,16,693,730,709,730,709
ne_traxaite_pzh,47,852,1040,914,1029,869
yprotopopova,33,806,885,840,831,820
Nico198309,15,655,692,670,692,664
kejixa,27,942,1039,989,1026,1022
Ural-Batur,17,703,852,747,747,852
ni9a-sama,15,608,911,687,911,619
Mojib77,139,508,663,621,508,657
CraigKraft,15,943,1135,1057,943,1033
kushaluppu123,20,958,1010,986,991,992
mohasebyar,15,871,920,897,871,900
Shapovalov1,35,930,1000,963,986,987
RohanMurali,52,945,988,964,952,988
HMSsurprise,239,834,912,878,834,864
BeNgan2017,39,436,539,497,444,514
sdftyhuyrtehjgouyzet,24,984,1031,1004,990,1021
sousan_jhn,83,688,1023,775,1023,766
Godzilla2023,18,935,971,952,951,946
A161043s,78,873,976,925,894,973
Chingiz21,72,914,958,935,932,958
keijao,21,738,846,787,837,738
vakb,67,924,993,967,924,986
alex565674423,29,872,999,917,999,889
Konstellito,85,937,1044,975,999,955
Carvalho1994,106,814,918,873,840,872
R_11639750,43,966,1002,989,990,999
PHYL037,26,943,1006,973,995,962
milanstol,174,954,1077,1000,1050,1061
Aarnavmasilkar,15,851,917,889,896,860
cosmos_25,29,663,962,797,962,673
swiftprison,39,987,1032,1003,1032,1008
Dron4ik03,25,841,1078,990,841,1078
Paullun,17,578,654,618,654,578
frusciante10,74,1021,1088,1050,1028,1056
Ghazal1389,34,591,692,631,602,687
mentheaditya17,28,731,843,799,779,799
saber1007,15,994,1150,1070,1067,1150
MegaAlex,43,794,847,823,840,823
milmavro,85,885,1001,954,885,979
bharat1110,25,715,1038,806,884,715
FNFriedrichNietzsche,74,815,962,886,822,942
OrigamiYoda,23,524,572,548,572,524
ibrahimHalilTURHAN,16,916,996,946,996,960
EhsanBehboodi,65,926,1084,972,1084,937
berenbaysal,37,760,890,825,870,793
Ipek-Kaygusuz,69,802,880,843,802,872
Zukoiddinov,16,927,1002,955,1002,960
Lanpp02846,32,879,1011,919,1011,928
AB3231,190,905,991,961,984,986
alloleslolas,24,994,1026,1007,1021,1017
Malik2006,15,708,988,805,988,777
onurkendir8,17,914,1084,1025,923,1020
nawely,17,983,1019,998,1008,1019
Mizhitdorzhiev_Yakov,16,763,1042,857,1042,763
MalininGeorgiy,44,751,778,769,765,751
neev500,15,941,1032,994,941,989
camroso,17,976,1038,1000,1000,1038
ARJUN_0826,16,778,813,799,798,790
Shchukin2010,25,840,1442,917,1442,919
carlgauso72,18,662,693,678,673,682
MaseGSJ,59,747,807,781,755,795
emptyerrors,19,779,805,790,797,781
kawaiii856,39,817,1054,879,1054,884
Isakov_Dima,33,833,914,877,833,891
samuel_9550,18,807,850,833,847,834
nyls7,29,895,1050,990,963,975
Upasna0912,20,911,992,965,911,943
znakomsvami12312,97,764,1018,899,910,1018
justinmustang,178,528,1000,619,1000,714
chaswest,18,1066,1115,1096,1079,1111
tomatosj,44,756,865,802,757,832
Tinki23,65,863,962,911,877,948
Thisanth,43,838,914,874,882,882
alitekbas,72,935,997,956,955,997
AbhinavoD,20,756,872,819,811,787
Nitai97,88,920,1035,963,1004,931
Ahmedghezale4e5,57,986,1050,1011,993,1046
AliceKozyreva,27,820,924,878,820,924
shankarmohan95,17,883,926,902,892,918
selena93sara,61,857,943,895,871,875
lyka5B,138,813,1033,927,813,1033
Checkmate_157,25,827,917,880,827,868
SakethD,78,715,839,806,715,804
Hausmeisterlein,112,810,1040,851,1040,820
fonxeta,113,850,962,917,855,946
Rein_Ecke,301,707,807,756,717,747
yusufsahineye,28,891,1007,935,912,1007
GLareno,22,833,1281,988,1281,990
Pew1663,15,700,725,713,707,710
LucasRes,84,883,998,965,894,963
Leena2016,73,562,665,610,641,659
Legenwaitforitdarrry,56,877,941,909,920,896
eporue,53,928,1024,974,983,957
zcqm1,17,881,927,904,892,902
goopium,174,874,1037,956,979,959
Jasparo,44,958,1046,980,1046,970
PALMERODEL72,28,474,870,615,870,474
prerit01,35,508,673,606,600,591
Selimege2013,16,825,980,888,980,839
Mark_I_K_2016,60,907,1069,985,923,1066
ffoollttaa,139,883,942,911,884,891
SammoChess,15,963,1004,986,963,1004
mbselvitopu,16,826,847,838,833,841
Putraqil,25,552,892,792,623,868
dupu203,16,582,613,601,598,602
KUDin21,44,557,827,654,783,647
soohyuk2015,17,841,954,904,947,892
InuraDNL,40,830,895,861,833,895
Bogdan452_f,83,919,978,947,932,929
Mekko1,54,934,1055,971,1036,954
CB_Shashwath,15,707,780,743,780,707
aloo_nyobala,34,899,980,936,916,980
krisev,40,626,1000,690,1000,637
Khaizenberg,275,768,847,800,800,795
zeze_19,48,785,847,829,785,835
Danujisenulya,20,912,1080,992,935,1036
Simfer_17,33,997,1074,1029,1039,1055
RodriguezFaszanatas,32,779,917,858,814,911
shady_77,20,925,986,961,925,958
Mfundi,65,923,1010,966,936,977
vihanj96,22,752,859,805,752,859
Pais66,35,938,1010,981,957,1000
mostafa1292,18,871,1110,959,991,871
mani-hp,15,1033,1114,1076,1079,1051
Capivara07dabr,53,792,848,816,821,804
Behruz9,56,615,754,665,726,659
Miksuwotlk95,69,628,961,700,961,646
