TimeControl,Count,Proportion (%)
"60+0",27406008,27.68
"180+0",19120336,19.31
"300+0",13861546,14.00
"600+0",10037301,10.14
"180+2",8358993,8.44
"120+1",6844772,6.91
"300+3",5139334,5.19
"600+5",2270272,2.29
"15+0",929166,0.94
"30+0",802336,0.81
"900+10",635167,0.64
"1800+0",369665,0.37
"60+1",326124,0.33
"120+0",220686,0.22
"900+0",176894,0.18
"300+5",131880,0.13
"600+3",120672,0.12
"-",97787,0.10
"300+2",97750,0.10
"180+1",95395,0.10
"600+2",94956,0.10
"480+0",87979,0.09
"0+1",84567,0.09
"240+0",70887,0.07
"420+3",64266,0.06
"420+0",60206,0.06
"180+3",59524,0.06
"1200+0",58004,0.06
"420+2",51589,0.05
"1800+20",45604,0.05
"60+2",45170,0.05
"900+5",44425,0.04
"600+10",43542,0.04
"300+8",39459,0.04
"900+3",38801,0.04
"360+0",35164,0.04
"900+15",33434,0.03
"420+5",31634,0.03
"90+0",31486,0.03
"1500+0",30850,0.03
"300+4",29667,0.03
"1200+10",27602,0.03
"300+1",26177,0.03
"420+1",22525,0.02
"60+3",18806,0.02
"0+2",18779,0.02
"480+3",18583,0.02
"15+4",18395,0.02
"240+2",17938,0.02
"120+2",17641,0.02
"600+1",17563,0.02
"15+1",17431,0.02
"300+10",16767,0.02
"360+3",16343,0.02
"180+5",14915,0.02
"45+0",13328,0.01
"120+3",12638,0.01
"240+3",12052,0.01
"360+2",11670,0.01
"1200+5",11648,0.01
"0+3",11622,0.01
"480+5",10220,0.01
"480+2",9718,0.01
"15+2",8610,0.01
"0+4",8503,0.01
"30+2",8182,0.01
"300+7",8089,0.01
"1200+3",8088,0.01
"90+2",7755,0.01
"1500+3",7398,0.01
"30+1",7374,0.01
"45+3",7246,0.01
"720+0",7169,0.01
"240+1",6855,0.01
"900+2",6759,0.01
"60+5",6755,0.01
"600+15",6501,0.01
"540+0",6229,0.01
"1800+10",6057,0.01
"1800+3",5987,0.01
"300+6",5879,0.01
"180+7",5844,0.01
"600+4",5780,0.01
"420+7",5763,0.01
"1800+5",5529,0.01
"480+8",5342,0.01
"720+3",5265,0.01
"10800+180",5249,0.01
"1800+30",5227,0.01
"0+5",5102,0.01
"3600+0",5044,0.01
"240+4",4827,0.00
"1500+5",4774,0.00
"300+15",4606,0.00
"60+10",4457,0.00
"600+8",4209,0.00
"180+8",4197,0.00
"1500+10",4188,0.00
"90+1",4154,0.00
"30+3",3875,0.00
"120+5",3812,0.00
"120+8",3725,0.00
"60+4",3662,0.00
"660+0",3598,0.00
"120+4",3402,0.00
"15+3",3382,0.00
"540+3",3300,0.00
"600+7",3266,0.00
"300+9",3263,0.00
"360+5",3220,0.00
"900+1",3211,0.00
"240+5",3193,0.00
"10800+0",3132,0.00
"420+4",3126,0.00
"480+1",3119,0.00
"180+10",3045,0.00
"360+6",3019,0.00
"45+1",2961,0.00
"480+4",2929,0.00
"840+0",2868,0.00
"2700+0",2844,0.00
"360+1",2760,0.00
"1800+15",2695,0.00
"45+2",2643,0.00
"3600+30",2624,0.00
"600+6",2617,0.00
"1200+20",2460,0.00
"1200+7",2458,0.00
"720+5",2457,0.00
"660+3",2442,0.00
"1200+8",2419,0.00
"900+14",2408,0.00
"180+4",2385,0.00
"90+3",2273,0.00
"360+4",2267,0.00
"960+0",2249,0.00
"1200+15",2182,0.00
"120+10",2086,0.00
"780+3",2077,0.00
"480+10",2033,0.00
"0+10",1917,0.00
"5400+30",1866,0.00
"780+0",1845,0.00
"480+6",1823,0.00
"900+8",1753,0.00
"30+11",1744,0.00
"1500+1",1725,0.00
"420+10",1713,0.00
"1200+2",1704,0.00
"840+3",1687,0.00
"240+6",1664,0.00
"0+11",1625,0.00
"600+20",1618,0.00
"1200+1",1595,0.00
"180+6",1577,0.00
"300+30",1537,0.00
"120+12",1536,0.00
"420+8",1533,0.00
"2100+0",1514,0.00
"60+11",1487,0.00
"300+12",1475,0.00
"900+20",1449,0.00
"0+12",1440,0.00
"60+8",1428,0.00
"60+12",1384,0.00
"2400+0",1383,0.00
"300+20",1335,0.00
"900+7",1320,0.00
"60+6",1309,0.00
"900+12",1273,0.00
"960+3",1245,0.00
"600+9",1231,0.00
"540+9",1214,0.00
"45+4",1181,0.00
"180+15",1132,0.00
"600+30",1123,0.00
"900+4",1121,0.00
"2700+15",1121,0.00
"120+15",1112,0.00
"540+5",1086,0.00
"2700+45",1084,0.00
"1800+2",1082,0.00
"5400+0",1075,0.00
