1) Total Games Played: 98994760

2) Distinct Time Controls and Proportions:

  - 60+0: 27406008 games (27.68%)
  - 180+0: 19120336 games (19.31%)
  - 300+0: 13861546 games (14.00%)
  - 600+0: 10037301 games (10.14%)
  - 180+2: 8358993 games (8.44%)
  - 120+1: 6844772 games (6.91%)
  - 300+3: 5139334 games (5.19%)
  - 600+5: 2270272 games (2.29%)
  - 15+0: 929166 games (0.94%)
  - 30+0: 802336 games (0.81%)
  - 900+10: 635167 games (0.64%)
  - 1800+0: 369665 games (0.37%)
  - 60+1: 326124 games (0.33%)
  - 120+0: 220686 games (0.22%)
  - 900+0: 176894 games (0.18%)
  - 300+5: 131880 games (0.13%)
  - 600+3: 120672 games (0.12%)
  - -: 97787 games (0.10%)
  - 300+2: 97750 games (0.10%)
  - 180+1: 95395 games (0.10%)
  - 600+2: 94956 games (0.10%)
  - 480+0: 87979 games (0.09%)
  - 0+1: 84567 games (0.09%)
  - 240+0: 70887 games (0.07%)
  - 420+3: 64266 games (0.06%)
  - 420+0: 60206 games (0.06%)
  - 180+3: 59524 games (0.06%)
  - 1200+0: 58004 games (0.06%)
  - 420+2: 51589 games (0.05%)
  - 1800+20: 45604 games (0.05%)
  - 60+2: 45170 games (0.05%)
  - 900+5: 44425 games (0.04%)
  - 600+10: 43542 games (0.04%)
  - 300+8: 39459 games (0.04%)
  - 900+3: 38801 games (0.04%)
  - 360+0: 35164 games (0.04%)
  - 900+15: 33434 games (0.03%)
  - 420+5: 31634 games (0.03%)
  - 90+0: 31486 games (0.03%)
  - 1500+0: 30850 games (0.03%)
  - 300+4: 29667 games (0.03%)
  - 1200+10: 27602 games (0.03%)
  - 300+1: 26177 games (0.03%)
  - 420+1: 22525 games (0.02%)
  - 60+3: 18806 games (0.02%)
  - 0+2: 18779 games (0.02%)
  - 480+3: 18583 games (0.02%)
  - 15+4: 18395 games (0.02%)
  - 240+2: 17938 games (0.02%)
  - 120+2: 17641 games (0.02%)
  - 600+1: 17563 games (0.02%)
  - 15+1: 17431 games (0.02%)
  - 300+10: 16767 games (0.02%)
  - 360+3: 16343 games (0.02%)
  - 180+5: 14915 games (0.02%)
  - 45+0: 13328 games (0.01%)
  - 120+3: 12638 games (0.01%)
  - 240+3: 12052 games (0.01%)
  - 360+2: 11670 games (0.01%)
  - 1200+5: 11648 games (0.01%)
  - 0+3: 11622 games (0.01%)
  - 480+5: 10220 games (0.01%)
  - 480+2: 9718 games (0.01%)
  - 15+2: 8610 games (0.01%)
  - 0+4: 8503 games (0.01%)
  - 30+2: 8182 games (0.01%)
  - 300+7: 8089 games (0.01%)
  - 1200+3: 8088 games (0.01%)
  - 90+2: 7755 games (0.01%)
  - 1500+3: 7398 games (0.01%)
